"x","y","EMv1mt","EMv05mt"
60.6946,41.53172148,56,131.1
60.6946,41.53170872,56,134.6
60.69459595,41.53169595,56,133.4
60.69458333,41.53168318,56,133.4
60.69458333,41.53167042,54.8,133.4
60.6945653,41.5316847,56,134.6
60.69453977,41.5317,56,135.8
60.69451544,41.53170122,53.6,134.6
60.69450275,41.53171392,57.2,134.6
60.69447987,41.53171667,54.8,132.3
60.69446047,41.53172287,52.4,132.3
60.69444539,41.53173564,52.4,129.9
60.69441984,41.53174841,51.2,129.9
60.6944055,41.53175,51.2,129.9
60.69439272,41.53175728,47.7,127.5
60.69438671,41.53177005,42.9,114.4
60.69439948,41.53178281,46.5,127.5
60.69441224,41.53179558,46.5,126.3
60.69441667,41.53180836,27.4,100.1
60.69441667,41.53182113,44.1,127.5
60.69441722,41.53183388,50,129.9
60.69442999,41.53184666,50,128.7
60.69443333,41.53185944,51.2,131.1
60.69443333,41.5318722,51.2,131.1
60.69443333,41.53188662,52.4,129.9
60.69443333,41.53191215,52.4,129.9
60.69443333,41.53192718,53.6,129.9
60.69443995,41.53193995,50,131.1
60.69445,41.53195272,51.2,127.5
60.69445,41.53196549,50,127.5
60.69446158,41.53197825,48.9,126.3
60.69446667,41.53199102,48.9,127.5
60.69446667,41.53200378,47.7,125.1
60.69446667,41.53201653,46.5,123.9
60.69447932,41.53202932,46.5,122.7
60.69448333,41.53204211,44.1,121.5
60.69448333,41.53205488,45.3,121.5
60.69448333,41.53206667,42.9,121.5
60.69449318,41.53207652,36.9,116.8
60.6945,41.53208929,35.7,115.6
60.6945,41.53210205,34.6,115.6
60.6945,41.53211482,34.6,116.8
60.69451092,41.53212759,35.7,114.4
60.69451667,41.53214037,38.1,114.4
60.69451981,41.53215314,38.1,114.4
60.69453258,41.53216591,38.1,113.2
60.69453333,41.53217867,39.3,116.8
60.69453333,41.53219143,36.9,116.8
60.69453754,41.53220421,41.7,119.1
60.69455,41.53221699,41.7,116.8
60.69455,41.53222976,40.5,115.6
60.69455,41.53224252,39.3,114.4
60.69455528,41.53225528,40.5,116.8
60.69456667,41.53226667,41.7,116.8
60.69457693,41.53227693,41.7,116.8
60.69458333,41.5322897,42.9,118
60.69458333,41.53230245,41.7,116.8
60.69458333,41.53231523,39.3,115.6
60.69459467,41.532328,39.3,116.8
60.6946,41.53234078,39.3,116.8
60.6946,41.53235354,36.9,114.4
60.6946,41.53236631,38.1,114.4
60.6946,41.53237908,36.9,113.2
60.69460853,41.53239186,36.9,114.4
60.69461667,41.53240462,36.9,114.4
60.69461667,41.5324174,36.9,114.4
60.69461667,41.53243017,36.9,114.4
60.69461667,41.53253333,53.6,129.9
60.69462309,41.53253975,57.2,126.3
60.69463333,41.53255255,63.1,134.6
60.69463333,41.53256532,65.5,140.6
60.69463333,41.53257809,70.3,144.2
60.69464085,41.53259085,67.9,143
60.69465,41.53260362,71.5,145.4
60.69465,41.5326164,66.7,138.2
60.69465,41.53262917,64.3,138.2
60.69465861,41.53264194,63.1,138.2
60.69466667,41.5326547,62,133.4
60.69466667,41.53266747,58.4,126.3
60.69466667,41.53268025,53.6,120.3
60.69467635,41.53269302,50,118
60.69468333,41.53270578,47.7,115.6
60.69468333,41.53271855,47.7,115.6
60.69468333,41.53273132,46.5,115.6
60.69469409,41.53274409,46.5,115.6
60.6947,41.53275687,46.5,115.6
60.6947,41.53276963,47.7,115.6
60.6947,41.5327824,47.7,116.8
60.69471184,41.53279517,47.7,115.6
60.69471667,41.53280794,48.9,116.8
60.69472071,41.53282071,46.5,116.8
60.69473333,41.53283349,48.9,116.8
60.69473333,41.53284625,46.5,115.6
60.69473333,41.53285902,45.3,113.2
60.69473333,41.53287179,45.3,113.2
60.69473456,41.53288456,44.1,113.2
60.69474732,41.53289732,44.1,114.4
60.69475,41.53291009,44.1,113.2
60.69475,41.53292287,44.1,113.2
60.69475231,41.53293564,41.7,112
60.69476508,41.53294841,40.5,112
60.69476667,41.53296117,41.7,112
60.69476667,41.53297394,41.7,113.2
60.69477004,41.53298671,40.5,110.8
60.6947828,41.53299946,39.3,109.6
60.69478333,41.53301224,41.7,112
60.69478333,41.53302502,40.5,109.6
60.69478779,41.53303779,41.7,110.8
60.6948,41.53305056,42.9,113.2
60.6948,41.53306334,40.5,112
60.6948,41.5330761,40.5,110.8
60.69480553,41.53308887,40.5,112
60.69481667,41.53310164,40.5,110.8
60.69481667,41.53311441,40.5,112
60.69481667,41.53312718,42.9,113.2
60.69482327,41.53313994,46.5,115.6
60.69483333,41.53315271,47.7,119.1
60.69483333,41.53316549,53.6,121.5
60.69483333,41.53316667,53.6,121.5
60.69484097,41.53317431,57.2,122.7
60.69485,41.53318702,58.4,123.9
60.69485,41.53319982,66.7,133.4
60.69485,41.53321265,71.5,143
60.69485878,41.53322544,77.4,144.2
60.69486667,41.5332382,73.9,138.2
60.69486667,41.53325097,70.3,133.4
60.69486667,41.53326375,63.1,127.5
60.69487652,41.53327652,59.6,123.9
60.69488333,41.53328929,57.2,121.5
60.69488537,41.53330204,54.8,119.1
60.69489815,41.53331482,54.8,121.5
60.6949,41.53332759,51.2,119.1
60.6949,41.53334037,50,118
60.69490312,41.53335312,48.9,115.6
60.69491589,41.53336589,46.5,112
60.69491667,41.53337867,45.3,113.2
60.69491667,41.53339144,45.3,113.2
60.69492087,41.53340421,44.1,113.2
60.69493333,41.53341697,45.3,113.2
60.69493333,41.53342974,42.9,113.2
60.69493333,41.53344251,41.7,113.2
60.69493862,41.53345529,40.5,112
60.69495,41.53346806,38.1,109.6
60.69495,41.53348081,38.1,109.6
60.69495,41.53349359,38.1,109.6
60.69495636,41.53350636,40.5,109.6
60.69496667,41.53351912,41.7,110.8
60.69496667,41.5335319,42.9,112
60.69496667,41.53354466,44.1,114.4
60.6949741,41.53355743,45.3,108.4
60.69498333,41.5335702,48.9,115.6
60.69498333,41.53358297,51.2,118
60.69498333,41.53359575,53.6,121.5
60.69499184,41.53360851,53.6,113.2
60.695,41.53362128,51.2,118
60.695,41.53363405,52.4,118
60.695,41.53364682,52.4,116.8
60.69500958,41.53365958,57.2,123.9
60.69501667,41.53367235,59.6,128.7
60.69501667,41.53368513,62,129.9
60.69501667,41.5336979,62,128.7
60.69502734,41.53371067,59.6,128.7
60.69503333,41.53372343,56,125.1
60.69503333,41.5337362,51.2,118
60.69503333,41.53374898,45.3,113.2
60.69504507,41.53376173,42.9,112
60.69505,41.53377452,42.9,113.2
60.69505,41.53378728,40.5,110.8
60.69505005,41.53380005,40.5,112
60.69506282,41.53381282,40.5,112
60.69506667,41.5338256,40.5,112
60.69506667,41.53383836,39.3,110.8
60.69506781,41.53385114,40.5,112
60.69508057,41.5338639,42.9,113.2
